PruningDensity,PruningType,Actual,Predicted,Zero,One,Two,Three,Four,Five,Six,Seven,Eight,Nine
0.016,neuron,1,3,-229.77,-229.77,-230.65,-225.15,-234.97,-229.55,-232.59,-229.17,-226.87,-234.51
0.015,neuron,1,3,-230.05,-230.05,-230.93,-225.43,-235.25,-229.83,-230.05,-229.45,-227.15,-234.79
0.014,neuron,1,3,-230.05,-230.05,-230.93,-225.43,-235.25,-229.83,-230.05,-229.45,-227.15,-234.79
0.013,neuron,1,3,-236.37,-228.6,-232.28,-226.9,-228.3,-234.02,-228.6,-228.6,-228.6,-230.74
0.012,neuron,1,3,-236.66,-228.54,-232.31,-226.96,-229.05,-234.33,-228.54,-228.54,-228.54,-229.56
0.011,neuron,1,3,-230.5,-230.5,-231.37,-225.88,-230.5,-230.28,-230.5,-230.5,-227.6,-235.23
0.01,neuron,1,3,-230.5,-230.5,-231.37,-225.88,-230.5,-230.28,-230.5,-230.5,-227.6,-235.23
0.009,neuron,1,3,-229.32,-229.32,-233.24,-228.22,-229.32,-234.23,-229.32,-229.32,-229.32,-231.17
0.008,neuron,1,9,-229.45,-229.45,-229.45,-231.37,-229.45,-238.95,-228.66,-229.45,-229.45,-227.35
0.007,neuron,1,0,-229.03,-229.03,-234.26,-229.03,-229.03,-234.47,-229.03,-229.03,-229.03,-230.89
0.006,neuron,1,9,-229.23,-229.23,-234.64,-229.23,-229.23,-236.11,-229.23,-229.23,-229.23,-227.54
0.005,neuron,1,0,-229.6,-229.6,-229.6,-229.6,-229.6,-235.18,-229.6,-229.6,-229.6,-230.75
0.004,neuron,1,0,-229.42,-229.42,-229.72,-229.42,-229.42,-237.84,-229.42,-229.42,-229.42,-229.42
0.003,neuron,1,0,-229.69,-229.69,-229.69,-229.69,-229.69,-235.52,-229.69,-229.69,-229.69,-229.69
0.002,neuron,1,0,-229.62,-229.62,-229.62,-229.62,-229.62,-236.23,-229.62,-229.62,-229.62,-229.62
